userId,testValues
4, 0 0 0 0 0
5, 2.613072e+00 2.613072e+00 2.500000e+00 2.289914e+00 2.289914e+00
8, 4.355120e+00 4.000000e+00 4.000000e+00 4.000000e+00 3.816524e+00
9, 4.615385e+00 3.636364e+00 3.636364e+00 3.636364e+00 3.636364e+00
13, 2.408950e+00 0 0 0 0
18, 4.500000e+00 4.090909e+00 3.816524e+00 3.750000e+00 3.750000e+00
19, 3.636364e+00 3.538894e+00 3.333333e+00 3.333333e+00 3.313708e+00
23, 3.636364e-01 0 0 0 0
26, 3.053219e+00 2.831115e+00 2.666667e+00 0 0
29, 3.000000e+00 0 0 0 0
31, 3.816524e+00 3.636364e+00 0 0 0
32, 3.600000e+00 3.491933e+00 3.418163e+00 3.211933e+00 3.211933e+00
33, 0 0 0 0 0
35, 3.750000e+00 3.434872e+00 3.434872e+00 3.272727e+00 3.272727e+00
37, 2.123336e+00 0 0 0 0
51, 4.944444e+00 4.944444e+00 4.419663e+00 4.266667e+00 4.266667e+00
52, 4.285714e+00 3.797959e+00 3.636364e+00 2.532387e+00 2.477226e+00
53, 4.364917e+00 4.142136e+00 4.014916e+00 4.014916e+00 3.750000e+00
54, 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00
61, 3.313708e+00 3.313708e+00 3.038367e+00 3.038367e+00 2.831115e+00
64, 5.000000e+00 4.615385e+00 4.166667e+00 3.816524e+00 3.816524e+00
69, 4.849733e+00 4.641016e+00 4.641016e+00 4.641016e+00 4.285714e+00
76, 2.666667e+00 2.123336e+00 0 0 0
78, 3.816524e+00 3.636364e+00 3.636364e+00 0 0
79, 3.484096e+00 3.053219e+00 0 0 0
85, 3.636364e+00 3.636364e+00 1.454545e+00 1.454545e+00 0
89, 2.400000e+00 2.123336e+00 2.123336e+00 2.000000e+00 2.000000e+00
92, 3.028237e+00 0 0 0 0
93, 4.444444e+00 3.750000e+00 3.750000e+00 3.405424e+00 1.818182e+00
95, 3.816524e+00 3.538894e+00 3.333333e+00 3.333333e+00 3.272727e+00
100, 4.033852e+00 4.033852e+00 3.816524e+00 3.816524e+00 3.816524e+00
104, 3.333333e+00 3.053219e+00 2.909091e+00 2.691766e+00 2.625000e+00
105, 4.545455e+00 0 0 0 0
109, 3.434872e+00 2.769231e+00 2.769231e+00 2.769231e+00 2.769231e+00
110, 3.053219e+00 3 2.909091e+00 2.909091e+00 2.909091e+00
111, 5.714286e+00 4.615385e+00 4.581568e+00 4.581568e+00 4.166667e+00
112, 4.033852e+00 3.636364e+00 3.636364e+00 3.636364e+00 3.636364e+00
122, 4.000000e+00 3.816524e+00 3.816524e+00 3.727922e+00 3.660254e+00
126, 5.625000e+00 5.333333e+00 5.333333e+00 4.615385e+00 4.355120e+00
131, 4.000000e-01 3.816524e-01 3.816524e-01 3.538894e-01 3.538894e-01
132, 1.769447e+00 1.682354e+00 0 0 0
136, 4.355120e+00 4.355120e+00 3.333333e+00 0 0
140, 4.153846e+00 3.272727e+00 0 0 0
144, 0 0 0 0 0
145, 1.769447e+00 1.769447e+00 1.682354e+00 1.682354e+00 0
146, 5.000000e+00 4.355120e+00 3.636364e+00 3.636364e+00 0
151, 3.630467e+00 3.434872e+00 3.272727e+00 3.272727e+00 3.272727e+00
152, 7.101021e+00 7.101021e+00 7.083586e+00 6.666667e+00 6.666667e+00
155, 3.227082e+00 3.211933e+00 3.211933e+00 2.333333e+00 2.333333e+00
156, 4.444444e+00 3.750000e+00 3.750000e+00 3.405424e+00 2.289914e+00
160, 3.434872e+00 3.272727e+00 0 0 0
162, 4.494897e+00 4.494897e+00 4.494897e+00 4.494897e+00 4.494897e+00
164, 1.125000e+00 0 0 0 0
165, 3.053219e+00 3.053219e+00 2.909091e+00 2.909091e+00 2.909091e+00
166, 2.899495e+00 2.691766e+00 2.562178e+00 2.333333e+00 2.333333e+00
169, 5.254124e+00 3.636364e+00 3.636364e+00 3.538894e+00 3.333333e+00
173, 4.000000e+00 3.798580e+00 3.798580e+00 3.750000e+00 3.630467e+00
179, 5.185185e+00 5.040000e+00 5.040000e+00 4.958333e+00 4.772727e+00
184, 3.053219e+00 3.053219e+00 2.666667e+00 2.666667e+00 2.545455e+00
185, 4.000000e+00 3.816524e+00 3.816524e+00 3.538894e+00 3.333333e+00
186, 5 4.721360e+00 4.615385e+00 4.494897e+00 4.305009e+00
187, 3.181818e+00 2.786652e+00 2.671567e+00 2.613072e+00 2.477226e+00
189, 4.033852e+00 3.816524e+00 3.816524e+00 3.636364e+00 3.636364e+00
190, 2.545455e+00 2.545455e+00 2.545455e+00 0 0
191, 0 0 0 0 0
197, 4.091546e+00 4.033657e+00 4.019840e+00 3.960850e+00 3.803248e+00
205, 3.364707e+00 0 0 0 0
208, 0 0 0 0 0
209, 3.636364e-01 3.538894e-01 3.538894e-01 3.364707e-01 0
217, 3.636364e+00 0 0 0 0
218, 3.816524e+00 3.538894e+00 3.333333e+00 2.477226e+00 2.333333e+00
222, 2.909091e+00 2.909091e+00 1.000000e+00 1.000000e+00 1.000000e+00
223, 4.721360e+00 3.874259e+00 3.750000e+00 3.636364e+00 3.636364e+00
234, 4.500000e+00 4.153846e+00 3.750000e+00 3.630467e+00 3.434872e+00
240, 2.666667e+00 2.016926e+00 1.908262e+00 1.682354e+00 1.682354e+00
246, 2.666667e+00 8.333333e-01 3.333333e-01 0 0
247, 3.636364e+00 3.636364e+00 3.364707e+00 3.364707e+00 0
250, 0 0 0 0 0
257, 5.000000e+00 5.000000e+00 0 0 0
258, 3.816524e+00 3.636364e+00 3.636364e+00 3.636364e+00 3.636364e+00
268, 1.333333e+00 0 0 0 0
269, 2.123336e+00 2.018824e+00 0 0 0
270, 0 0 0 0 0
274, 3.272727e+00 3.272727e+00 0 0 0
278, 3.333333e+00 3.333333e+00 3.333333e+00 3.048584e+00 2.916667e+00
281, 4.545455e+00 4.545455e+00 4.153846e+00 4.153846e+00 4.000000e+00
288, 2.545455e+00 2.355295e+00 2.355295e+00 0 0
294, 4.033852e+00 3.816524e+00 3.636364e+00 3.181818e+00 3.181818e+00
296, 3.636364e+00 0 0 0 0
299, 2.916667e+00 2.658571e+00 2.196152e+00 2.196152e+00 2.196152e+00
301, 3.636364e+00 2.691766e+00 4.494897e-01 4.220645e-01 3.538894e-01
308, 4.615385e+00 4.615385e+00 0 0 0
310, 3.538894e+00 2.420311e+00 2.181818e+00 2.181818e+00 2.181818e+00
312, 3.333333e+00 0 0 0 0
314, 2.289914e+00 2.181818e+00 2.181818e+00 2.181818e+00 2.181818e+00
318, 1.415557e+00 1.415557e+00 1.415557e+00 1.333333e+00 1.333333e+00
321, 4.500000e+00 3.816524e+00 3.636364e+00 3.636364e+00 3.636364e+00
326, 2.289914e+00 2.278775e+00 2.123336e+00 2.123336e+00 2.123336e+00
327, 3.798580e+00 3.727922e+00 3.727922e+00 3.727922e+00 3.434872e+00
333, 2.727273e+00 2.278775e+00 2.000000e+00 2.000000e+00 2.000000e+00
336, 2.899495e+00 2.691766e+00 2.658571e+00 2.658571e+00 2.658571e+00
337, 3.200000e+00 2.863353e+00 2.727273e+00 2.691766e+00 2.666667e+00
339, 5.538462e+00 5.538462e+00 5.375000e+00 5.375000e+00 5.181818e+00
344, 4.000000e+00 3.816524e+00 3.816524e+00 2.181818e+00 2.181818e+00
350, 3.272727e+00 3.272727e+00 3.200000e+00 3.134983e+00 2.954451e+00
353, 2.545455e+00 2.438320e+00 0 0 0
355, 3.750000e+00 3.750000e+00 3.750000e+00 3.538894e-01 0
359, 4.355120e+00 4.033852e+00 4.033852e+00 3.816524e+00 3.636364e+00
361, 5.000000e+00 5.000000e+00 0 0 0
364, 3.185004e+00 3.000000e+00 0 0 0
365, 4.086957e+00 3.826143e+00 3.666667e+00 3.664319e+00 3.559359e+00
374, 3.692308e+00 3.692308e+00 3.692308e+00 3.600000e+00 3.600000e+00
375, 4.545455e+00 3.333333e+00 3.333333e+00 3.333333e+00 3.028237e+00
376, 0 0 0 0 0
378, 4.355120e+00 4.166667e+00 4.166667e+00 3.636364e+00 3.636364e+00
379, 1.345883e+00 0 0 0 0
380, 4.312500e+00 4.143434e+00 4.125000e+00 4.125000e+00 4
383, 0 0 0 0 0
385, 3.750000e+00 3.538894e+00 3.538894e+00 3.538894e+00 3.364707e+00
388, 2.355295e+00 2.170897e+00 2.170897e+00 2.170897e+00 2.170897e+00
390, 3.434872e+00 3.272727e+00 3.272727e+00 3.272727e+00 3.272727e+00
393, 2.181818e+00 2.181818e+00 2.181818e+00 2.133333e+00 8.010693e-01
399, 4.000000e+00 3.816524e+00 3.816524e+00 3.692308e+00 3.333333e+00
